,Question Index,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,,
,Question Label,Fylgi Sjálfstæðisflokks,Fylgi Sjálfstæðisflokks,Fylgi Framsóknarflokks,Fylgi Framsóknarflokks,Fylgi Viðreisnar,Fylgi Viðreisnar,Fylgi Flokks fólksins,Fylgi Flokks fólksins,Fylgi Sósíalistaflokks Íslands,Fylgi Sósíalistaflokks Íslands,Fylgi Miðflokksins,Fylgi Miðflokksins,Fylgi Pírata,Fylgi Pírata,Fylgi Samfylkingarinnar,Fylgi Samfylkingarinnar,Fylgi Vinstrihreyfingarinnar - græns framboðs,Fylgi Vinstrihreyfingarinnar - græns framboðs,Fylgi annarra flokka/framboða,Fylgi annarra flokka/framboða,,
,Response Month Month,Weighted Count,Weighted Average Open Numeric,Weighted Count,Weighted Average Open Numeric,Weighted Count,Weighted Average Open Numeric,Weighted Count,Weighted Average Open Numeric,Weighted Count,Weighted Average Open Numeric,Weighted Count,Weighted Average Open Numeric,Weighted Count,Weighted Average Open Numeric,Weighted Count,Weighted Average Open Numeric,Weighted Count,Weighted Average Open Numeric,Weighted Count,Weighted Average Open Numeric,Weighted Count,Weighted Average Open Numeric
1,2024-09,406,"14,2",406,"6,3",406,"10,2",406,"7,4",406,"5,1",406,"18,7",406,"7,6",406,"26,1",406,"4,4",406,"0,0",4.061,"10,0"
2,2024-08,394,"17,1",394,"7,0",394,"10,1",394,"6,7",394,"5,7",394,"16,0",394,"7,8",394,"26,4",394,"3,4",394,"0,0",3.943,"10,0"
3,2024-07,332,"17,2",332,"7,2",332,"8,8",332,"8,6",332,"4,7",332,"14,6",332,"7,8",332,"27,6",332,"3,5",332,"0,0",3.316,"10,0"
4,2024-06,327,"18,5",327,"6,6",327,"9,4",327,"7,7",327,"3,5",327,"14,5",327,"8,8",327,"26,9",327,"4,0",327,"0,0",3.265,"10,0"
5,2024-05,508,"18,0",508,"9,1",508,"7,7",508,"6,1",508,"3,7",508,"13,5",508,"8,8",508,"29,9",508,"3,3",508,"0,0",5.081,"10,0"
6,2024-04,376,"18,0",376,"8,8",376,"7,5",376,"7,2",376,"3,4",376,"12,8",376,"8,2",376,"29,7",376,"4,4",376,"0,0",3.762,"10,0"
7,2024-03,383,"18,2",383,"7,3",383,"7,1",383,"6,2",383,"3,9",383,"12,9",383,"7,8",383,"30,9",383,"5,6",383,"0,0",3.830,"10,0"
8,2024-02,366,"19,9",366,"8,8",366,"7,5",366,"6,8",366,"3,5",366,"12,8",366,"8,0",366,"28,2",366,"4,7",366,"0,0",3.656,"10,0"
9,2024-01,376,"18,2",376,"8,4",376,"7,0",376,"7,9",376,"3,4",376,"10,9",376,"8,1",376,"30,6",376,"5,5",376,"0,0",3.756,"10,0"
10,2023-12,354,"18,1",354,"9,4",354,"8,8",354,"6,8",354,"3,6",354,"9,7",354,"9,1",354,"28,4",354,"6,0",354,"0,0",3.543,"10,0"
11,2023-11,346,"19,8",346,"8,6",346,"7,9",346,"6,9",346,"4,2",346,"9,4",346,"9,3",346,"28,1",346,"5,1",346,"0,8",3.457,"10,0"
12,2023-10,392,"20,5",392,"7,4",392,"7,5",392,"6,5",392,"4,1",392,"8,6",392,"10,2",392,"29,1",392,"6,0",392,"0,0",3.920,"10,0"
13,2023-09,402,"20,4",402,"8,1",402,"7,9",402,"5,7",402,"3,9",402,"8,6",402,"9,6",402,"30,1",402,"5,7",402,"0,0",4.022,"10,0"
14,2023-08,367,"21,1",367,"7,5",367,"7,2",367,"6,3",367,"4,4",367,"8,7",367,"10,3",367,"28,5",367,"5,9",367,"0,0",3.671,"10,0"
15,2023-07,364,"21,0",364,"8,9",364,"7,0",364,"5,7",364,"3,6",364,"8,5",364,"10,5",364,"28,6",364,"6,1",364,"0,1",3.645,"10,0"
16,2023-06,410,"20,8",410,"8,7",410,"8,1",410,"5,7",410,"4,6",410,"7,8",410,"9,7",410,"28,4",410,"6,2",410,"0,0",4.100,"10,0"
17,2023-05,381,"20,8",381,"10,2",381,"7,6",381,"5,5",381,"4,9",381,"6,9",381,"10,1",381,"28,4",381,"5,7",381,"0,0",3.807,"10,0"
18,2023-04,366,"21,9",366,"9,6",366,"7,4",366,"6,0",366,"4,4",366,"6,2",366,"10,0",366,"27,8",366,"6,6",366,"0,0",3.658,"10,0"
19,2023-03,429,"22,3",429,"9,9",429,"9,1",429,"5,6",429,"5,1",429,"6,3",429,"9,4",429,"25,1",429,"7,1",429,"0,0",4.291,"10,0"
20,2023-02,357,"22,5",357,"10,8",357,"7,7",357,"5,6",357,"5,0",357,"5,3",357,"12,1",357,"24,0",357,"6,8",357,"0,3",3.567,"10,0"
21,2023-01,354,"23,5",354,"11,3",354,"7,3",354,"5,5",354,"4,4",354,"5,5",354,"10,4",354,"25,3",354,"6,8",354,"0,0",3.543,"10,0"
22,2022-12,256,"23,8",256,"12,1",256,"6,9",256,"6,2",256,"4,6",256,"4,6",256,"11,3",256,"23,4",256,"6,8",256,"0,3",2.557,"10,0"
23,2022-11,416,"24,1",416,"12,2",416,"7,4",416,"4,5",416,"5,2",416,"5,6",416,"12,2",416,"21,1",416,"7,5",416,"0,2",4.164,"10,0"
24,2022-10,310,"24,4",310,"13,8",310,"8,4",310,"5,3",310,"5,0",310,"5,0",310,"12,9",310,"16,6",310,"8,4",310,"0,1",3.102,"10,0"
25,2022-09,415,"24,1",415,"13,4",415,"8,5",415,"5,1",415,"5,1",415,"5,4",415,"13,6",415,"16,3",415,"8,2",415,"0,1",4.148,"10,0"
26,2022-08,413,"21,8",413,"15,6",413,"8,4",413,"5,6",413,"5,1",413,"4,6",413,"14,8",413,"15,5",413,"8,4",413,"0,2",4.126,"10,0"
27,2022-07,383,"22,1",383,"15,4",383,"8,6",383,"6,6",383,"5,3",383,"4,4",383,"15,0",383,"13,7",383,"8,6",383,"0,4",3.829,"10,0"
28,2022-06,384,"22,8",384,"17,5",384,"6,7",384,"7,0",384,"4,1",384,"4,6",384,"16,1",384,"13,7",384,"7,2",384,"0,4",3.842,"10,0"
29,2022-05,463,"20,1",463,"17,5",463,"9,5",463,"6,4",463,"5,0",463,"4,3",463,"14,7",463,"14,1",463,"8,1",463,"0,2",4.630,"10,0"
30,2022-04,412,"19,8",412,"15,6",412,"9,6",412,"7,7",412,"4,6",412,"4,1",412,"14,5",412,"13,7",412,"10,1",412,"0,4",4.121,"10,0"
31,2022-03,459,"22,7",459,"18,0",459,"9,1",459,"8,2",459,"3,6",459,"3,7",459,"11,9",459,"11,2",459,"11,4",459,"0,3",4.594,"10,0"
32,2022-02,406,"21,9",406,"18,1",406,"9,7",406,"7,5",406,"3,9",406,"3,9",406,"13,2",406,"11,1",406,"10,5",406,"0,2",4.058,"10,0"
33,2022-01,463,"22,4",463,"17,0",463,"9,4",463,"8,8",463,"4,3",463,"3,7",463,"12,5",463,"10,8",463,"10,7",463,"0,4",4.627,"10,0"
34,2021-12,695,"23,3",695,"17,7",695,"8,7",695,"8,6",695,"4,5",695,"3,4",695,"12,5",695,"10,5",695,"10,6",695,"0,3",6.949,"10,0"
35,2021-11,884,"22,7",884,"17,0",884,"8,4",884,"8,0",884,"4,4",884,"3,8",884,"11,8",884,"10,7",884,"13,0",884,"0,2",8.839,"10,0"
36,2021-10,793,"22,8",793,"17,2",793,"8,9",793,"7,9",793,"4,6",793,"4,3",793,"11,0",793,"9,8",793,"13,4",793,"0,2",7.925,"10,0"
37,2021-09,1.302,"22,3",1.302,"13,7",1.302,"9,8",1.302,"6,0",1.302,"6,8",1.302,"7,0",1.302,"10,5",1.302,"12,0",1.302,"11,4",1.302,"0,6",13.019,"10,0"
38,2021-08,,,,,,,,,,,,,,,,,,,,,,
39,2021-07,,,,,,,,,,,,,,,,,,,,,,
40,2021-06,,,,,,,,,,,,,,,,,,,,,,
41,2021-05,,,,,,,,,,,,,,,,,,,,,,
42,2021-04,,,,,,,,,,,,,,,,,,,,,,
43,2021-03,,,,,,,,,,,,,,,,,,,,,,
44,2021-02,,,,,,,,,,,,,,,,,,,,,,
45,2021-01,,,,,,,,,,,,,,,,,,,,,,
